"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @wilw: FWIW, Android 5.0 is an exponential improvement upon previous versions. It’s my favorite mobile OS, ever.",FALSE,0,NA,2014-11-27 05:04:11,FALSE,NA,"537834248368312320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",184,TRUE,FALSE,NA,NA
"RT @google: Create your own @Android character and you might see it on the big screen in Times Square <U+2192> http://t.co/CYBPq1wZxc http://t.co/…",FALSE,0,NA,2014-11-26 19:17:17,FALSE,NA,"537686548444377089",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",261,TRUE,FALSE,NA,NA
"RT @Android: Say hello however you please. #AndroidLollipop now supports over 68 languages. http://t.co/FGcNeXt5NG",FALSE,0,NA,2014-11-22 03:57:10,FALSE,NA,"536005441373732864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",349,TRUE,FALSE,NA,NA
"RT @WIRED: A 5-year-old is now the youngest person ever qualified to install Microsoft Windows http://t.co/Htf5opSYvW http://t.co/S3dUhI0aMa",FALSE,0,NA,2014-11-22 03:48:26,FALSE,NA,"536003245957599232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",1025,TRUE,FALSE,NA,NA
"RT @googlechrome: #Chromecast and @NASA bring out-of-this-world photos to your TV screen. Get started at http://t.co/o7o6Eb9xBC. http://t.c…",FALSE,0,NA,2014-11-21 03:32:42,FALSE,NA,"535636896836096000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",171,TRUE,FALSE,NA,NA
"RT @Recode: Nexus 6 Review: A Sweet Treat for Those Who Crave Big Phones http://t.co/I6S43tnt7i by @BonnieSCha",FALSE,0,NA,2014-11-12 18:16:35,FALSE,NA,"532597844071305217",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",22,TRUE,FALSE,NA,NA
"RT @google: Help #FightEbola. For every $1 you give, Google will give $2. Donate here: http://t.co/M8MOJYpwbX http://t.co/vRNMsYixiI",FALSE,0,NA,2014-11-10 16:52:11,FALSE,NA,"531851825612619776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",824,TRUE,FALSE,NA,NA
"RT @Recode: Review: Google's new inbox app comes close to mastering email http://t.co/NWWW0dOWo4 by @KatieBoehret http://t.co/cyVjPSunRP",FALSE,0,NA,2014-11-07 18:37:40,FALSE,NA,"530791210571411456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",41,TRUE,FALSE,NA,NA
"@satyanadella @Office excited to see Office for Android",FALSE,168,"satyanadella",2014-11-06 15:52:47,FALSE,"530380300107661312","530387324786323456","20571756","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",140,FALSE,FALSE,NA,NA
"RT @mattcutts: Google releases an open-source tool to help test and secure SSL: http://t.co/ljWSVpOkDo",FALSE,0,NA,2014-11-05 05:47:17,FALSE,NA,"529872560465666048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",395,TRUE,FALSE,NA,NA
"RT @dannysullivan: Android 5 ""Lollypop"" feels very polished and refreshed. Android keeps growing up &amp; maturing in nice ways.",FALSE,0,NA,2014-11-03 20:57:35,FALSE,NA,"529376868630147072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",33,TRUE,FALSE,NA,NA
"RT @androidcentral: Google's updated calendar app is a gorgeous addition to Android 5.0 Lollipop http://t.co/vxRgEmIId6 #android http://t.c…",FALSE,0,NA,2014-11-03 18:23:50,FALSE,NA,"529338175324311552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",73,TRUE,FALSE,NA,NA
"Rethinking Google Calendar http://t.co/vZrxMj4WNv",FALSE,125,NA,2014-11-03 18:20:20,FALSE,NA,"529337295787139072",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",124,FALSE,FALSE,NA,NA
"RT @richardbranson: My thoughts from Mojave @VirginGalactic - space community united to learn from tragedy, then move forward http://t.co/K…",FALSE,0,NA,2014-11-01 17:42:49,FALSE,NA,"528603079881408512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",383,TRUE,FALSE,NA,NA
"RT @androidcentral: Sonos working on Android Wear app to control its speakers with a smartwatch http://t.co/qwCNBWv3FM #android http://t.co…",FALSE,0,NA,2014-11-01 16:09:10,FALSE,NA,"528579509214134272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",29,TRUE,FALSE,NA,NA
"@om @tim_cook really inspiring and this will make a difference",FALSE,157,"om",2014-10-30 15:52:42,FALSE,"527843717197987840","527850591112802304","989","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",87,FALSE,FALSE,NA,NA
"RT @google: 12 of the best new features in Android #Lollipop, according to @verge http://t.co/3DYOTF4rIw http://t.co/dwHRIhgQQR",FALSE,0,NA,2014-10-29 19:54:06,FALSE,NA,"527548951210110976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",372,TRUE,FALSE,NA,NA
